unix,date,symbol,open,high,low,close,Volume ETH,Volume USD
1620172800,5/5/2021 0:00,ETH/USD,3241.69,3301.44,3208.19,3287.99,1067.24181,3509080.399
1620086400,5/4/2021 0:00,ETH/USD,3434.32,3530,3167.66,3238.42,148326.4368,480343299.5
1620000000,5/3/2021 0:00,ETH/USD,2951.93,3457.64,2951.93,3430.16,97660.00808,334989453.3
1619913600,5/2/2021 0:00,ETH/USD,2949.03,2986.01,2853,2951.78,29434.39748,86883865.8
1619827200,5/1/2021 0:00,ETH/USD,2776.06,2956,2758.57,2947.57,35886.12778,105776873.6
1619740800,4/30/2021 0:00,ETH/USD,2759.56,2802.06,2726.49,2777.11,43230.93529,120057062.7
1619654400,4/29/2021 0:00,ETH/USD,2751.52,2800.89,2671.33,2758.06,62670.56086,172849167.1
1619568000,4/28/2021 0:00,ETH/USD,2669.01,2763.75,2561.44,2750.37,73236.30053,201426923.9
1619481600,4/27/2021 0:00,ETH/USD,2534.92,2683.65,2483.76,2668.89,50882.36346,135799431
1619395200,4/26/2021 0:00,ETH/USD,2323.31,2544.98,2306.75,2534.69,52277.29012,132506724.5
1619308800,4/25/2021 0:00,ETH/USD,2217.33,2358,2166,2321.81,80968.35531,187993137
1619222400,4/24/2021 0:00,ETH/USD,2369.69,2369.97,2157.61,2217.33,33143.53794,73490160.99
1619136000,4/23/2021 0:00,ETH/USD,2397.88,2442.89,2106.65,2369.77,121136.7675,287066277.5
1619049600,4/22/2021 0:00,ETH/USD,2362.05,2645.97,2300,2400,119509.3321,286822397.1
1618963200,4/21/2021 0:00,ETH/USD,2334.34,2470.53,2238.48,2358.13,78047.22007,184045491.1
1618876800,4/20/2021 0:00,ETH/USD,2164.37,2349.81,2055,2333.71,80163.98446,187079492.2
1618790400,4/19/2021 0:00,ETH/USD,2242.95,2280.79,2077.42,2163.77,117808.7253,254910985.6
1618704000,4/18/2021 0:00,ETH/USD,2317.12,2341.68,1951.66,2241.5,116812.9323,261836187.8
1618617600,4/17/2021 0:00,ETH/USD,2427.08,2497.39,2312.87,2317.11,39844.19803,92323389.71
1618531200,4/16/2021 0:00,ETH/USD,2518.24,2548.93,2301.75,2426.19,74898.1128,181717052.3
1618444800,4/15/2021 0:00,ETH/USD,2433.79,2546,2400,2517.35,46713.35027,117593852.3
1618358400,4/14/2021 0:00,ETH/USD,2300.31,2446.96,2282.31,2432.63,63187.08257,153710792.7
1618272000,4/13/2021 0:00,ETH/USD,2137.73,2317.23,2135,2299.69,43182.35217,99306023.47
1618185600,4/12/2021 0:00,ETH/USD,2150.76,2200,2098.56,2136.77,27358.29497,58458383.95
1618099200,4/11/2021 0:00,ETH/USD,2135.38,2163.55,2112.32,2148.15,12969.16075,27859702.66
1618012800,4/10/2021 0:00,ETH/USD,2066.78,2197,2057.34,2134.22,35714.81005,76223261.9
1617926400,4/9/2021 0:00,ETH/USD,2082.02,2100,2048.41,2065.93,24168.67419,49930789.08
1617840000,4/8/2021 0:00,ETH/USD,1963.44,2084.95,1949,2081,35731.71605,74357701.09
1617753600,4/7/2021 0:00,ETH/USD,2112.69,2129.39,1930,1963.08,42890.83704,84198144.38
1617667200,4/6/2021 0:00,ETH/USD,2108.82,2151.63,2043.83,2112.69,32765.44204,69223221.74
1617580800,4/5/2021 0:00,ETH/USD,2077.1,2131.37,2002.22,2107.23,30764.05086,64826930.89
1617494400,4/4/2021 0:00,ETH/USD,2007.75,2092.58,1978.21,2075.74,24508.82935,50873957.43
1617408000,4/3/2021 0:00,ETH/USD,2135.74,2138.26,1996.16,2008.28,40026.19832,80383813.55
1617321600,4/2/2021 0:00,ETH/USD,1968.46,2144.99,1949.77,2134.56,56445.1695,120485601
1617235200,4/1/2021 0:00,ETH/USD,1922.85,1982,1884.88,1967.82,39186.05458,77111101.93
1617148800,3/31/2021 0:00,ETH/USD,1842.06,1947.49,1770.18,1917.91,53215.26281,102062084.7
1617062400,3/30/2021 0:00,ETH/USD,1816.61,1860.2,1785.6,1842.12,37369.22481,68838596.4
1616976000,3/29/2021 0:00,ETH/USD,1686.84,1842,1676.32,1817.22,49178.38747,89367949.27
1616889600,3/28/2021 0:00,ETH/USD,1714.07,1725.64,1661.79,1686.5,22802.8414,38456992.02
1616803200,3/27/2021 0:00,ETH/USD,1700.28,1732.5,1666.57,1713.6,33598.82964,57574954.48
1616716800,3/26/2021 0:00,ETH/USD,1586.48,1701.29,1586.48,1699.37,53482.28617,90886192.64
1616630400,3/25/2021 0:00,ETH/USD,1581.08,1680,1549.15,1586.26,49991.9865,79300288.51
1616544000,3/24/2021 0:00,ETH/USD,1668.38,1739.61,1520,1582.94,103914.6369,164490635.4
1616457600,3/23/2021 0:00,ETH/USD,1682.74,1722.15,1651.3,1670.16,33651.58422,56203529.9
1616371200,3/22/2021 0:00,ETH/USD,1783.99,1808.34,1654.3,1681.69,39276.54702,66050976.36
1616284800,3/21/2021 0:00,ETH/USD,1804.94,1816.79,1745,1783.59,21250.26573,37901761.45
1616198400,3/20/2021 0:00,ETH/USD,1810.84,1869.2,1800,1803.79,31379.09824,56601303.61
1616112000,3/19/2021 0:00,ETH/USD,1776.11,1841,1732.17,1809.44,20843.87646,37715743.82
1616025600,3/18/2021 0:00,ETH/USD,1829.74,1850,1758.53,1776.02,32571.47908,57847598.27
1615939200,3/17/2021 0:00,ETH/USD,1807.71,1840.98,1741.08,1822.3,42379.79355,77228697.79
1615852800,3/16/2021 0:00,ETH/USD,1795.47,1820,1711.89,1805.65,87285.79636,157607598.2
1615766400,3/15/2021 0:00,ETH/USD,1847.52,1890,1732,1793.21,85342.28664,153036641.8
1615680000,3/14/2021 0:00,ETH/USD,1922.22,1931.6,1837,1848.37,26691.64732,49336040.16
1615593600,3/13/2021 0:00,ETH/USD,1767.76,1943.32,1728.25,1920.98,52560.20387,100967100.4
1615507200,3/12/2021 0:00,ETH/USD,1827.37,1842.17,1720.55,1767.48,40877.58102,72250306.89
1615420800,3/11/2021 0:00,ETH/USD,1794.46,1848.47,1723.84,1826.23,61046.12373,111484262.5
1615334400,3/10/2021 0:00,ETH/USD,1873.23,1879.69,1758.79,1793.51,80810.76161,144934909
1615248000,3/9/2021 0:00,ETH/USD,1836.88,1872.78,1798.57,1872.78,36537.83969,68427335.41
1615161600,3/8/2021 0:00,ETH/USD,1729.6,1842.52,1665.76,1835.06,65383.8357,119983261.5
1615075200,3/7/2021 0:00,ETH/USD,1652.87,1735,1630.39,1727.3,40239.80258,69506211
1614988800,3/6/2021 0:00,ETH/USD,1530.03,1672.98,1513.72,1651.16,76977.0713,127101461
1614902400,3/5/2021 0:00,ETH/USD,1540.71,1549.29,1441.25,1527.29,60074.77956,91751610.08
1614816000,3/4/2021 0:00,ETH/USD,1568.11,1625.39,1504.16,1538.23,81503.09889,125370511.8
1614729600,3/3/2021 0:00,ETH/USD,1487.03,1658,1478.61,1568,61937.7097,97118328.82
1614643200,3/2/2021 0:00,ETH/USD,1572.12,1604.99,1455,1488.8,38100.18145,56723550.15
1614556800,3/1/2021 0:00,ETH/USD,1424.29,1573.31,1413.44,1570.83,56377.83225,88559990.24
1614470400,2/28/2021 0:00,ETH/USD,1457.78,1469.74,1293.42,1421.77,147163.046,209232003.9
1614384000,2/27/2021 0:00,ETH/USD,1445.19,1527.7,1427.43,1459.03,74913.18812,109300588.9
1614297600,2/26/2021 0:00,ETH/USD,1480.21,1563.83,1400,1447.06,52364.48905,75774557.53
1614211200,2/25/2021 0:00,ETH/USD,1623.76,1672.91,1458.85,1480.16,44072.41451,65234225.06
1614124800,2/24/2021 0:00,ETH/USD,1578.21,1714.77,1500,1625.51,70838.7771,115149140.6
1614038400,2/23/2021 0:00,ETH/USD,1778.36,1782.06,1352.89,1578.14,203281.7148,320807005.4
1613952000,2/22/2021 0:00,ETH/USD,1936.27,1937.11,1540.58,1778.72,166674.7042,296467629.8
1613865600,2/21/2021 0:00,ETH/USD,1915.03,1976.94,1885.29,1935.24,27671.26609,53550540.98
1613779200,2/20/2021 0:00,ETH/USD,1957.84,2040.62,1801.94,1916.4,57264.99341,109742633.4
1613692800,2/19/2021 0:00,ETH/USD,1942.87,1974.99,1890.69,1958.16,65276.45756,127821748.1
1613606400,2/18/2021 0:00,ETH/USD,1852.07,1951.26,1852.07,1939.05,72480.3221,140542968.6
1613520000,2/17/2021 0:00,ETH/USD,1783.75,1857.79,1733.46,1851.26,65212.37484,120725061.1
1613433600,2/16/2021 0:00,ETH/USD,1779.6,1826.23,1723.67,1781.16,87870.25277,156510979.4
1613347200,2/15/2021 0:00,ETH/USD,1803.43,1839.25,1660,1780.19,113833.3272,202644950.7
1613260800,2/14/2021 0:00,ETH/USD,1820.26,1853.3,1785.93,1802,62494.24175,112614623.6
1613174400,2/13/2021 0:00,ETH/USD,1845.74,1874.98,1765.54,1817.2,58072.79926,105529890.8
1613088000,2/12/2021 0:00,ETH/USD,1787.64,1868.8,1741.16,1845.93,69275.68002,127878056
1613001600,2/11/2021 0:00,ETH/USD,1745.21,1819,1704.87,1788.18,75222.08919,134510635.5
1612915200,2/10/2021 0:00,ETH/USD,1773.72,1839,1678.67,1743.14,87952.33233,153313228.6
1612828800,2/9/2021 0:00,ETH/USD,1754.07,1825.36,1708.21,1772.94,67940.07602,120453678.4
