Date,Close,Open,High,Low,Vol.,Change %
5-May-21,10.3212,9.3936,10.6717,9.2845,8.47M,9.17%
4-May-21,9.4539,10.5757,10.5834,9.3436,9.40M,-10.62%
3-May-21,10.5777,10.3147,10.9848,10.2757,9.89M,2.23%
2-May-21,10.3468,10.4302,12.0042,10.0349,24.40M,-0.80%
1-May-21,10.4304,9.0029,11.5225,8.801,19.63M,15.86%
30-Apr-21,9.0029,8.6497,9.1983,8.5792,5.71M,4.05%
29-Apr-21,8.6527,8.8242,8.9507,8.4147,4.90M,-1.93%
28-Apr-21,8.8231,9.1322,9.3272,8.4946,5.32M,-3.38%
27-Apr-21,9.1313,9.5919,9.9014,8.991,6.21M,-4.82%
26-Apr-21,9.5933,8.4473,9.6823,8.2555,8.62M,13.55%
25-Apr-21,8.4485,8.7913,9.1783,8.12,10.45M,-3.93%
24-Apr-21,8.794,10.0563,10.0965,8.7493,8.85M,-12.54%
23-Apr-21,10.0548,10.5714,11.0794,8.3479,15.19M,-4.90%
22-Apr-21,10.5733,9.6703,11.7158,9.0727,12.64M,9.21%
21-Apr-21,9.6815,10.4629,11.5411,9.6676,15.90M,-7.47%
20-Apr-21,10.4629,11.5943,11.7073,9.9992,20.03M,-9.76%
19-Apr-21,11.5947,12.7657,12.9138,10.4668,31.88M,-9.12%
18-Apr-21,12.758,16.2621,16.622,11.7117,97.04M,-21.54%
17-Apr-21,16.2614,6.121,22.941,6.069,146.10M,165.86%
16-Apr-21,6.1166,5.6839,6.337,5.1701,6.34M,7.60%
15-Apr-21,5.6846,5.4258,5.7526,5.3781,3.01M,4.83%
14-Apr-21,5.4228,5.7109,5.7544,5.217,3.64M,-4.90%
13-Apr-21,5.7023,5.6839,5.8324,5.3643,4.05M,0.32%
12-Apr-21,5.6839,5.7974,6.0419,5.5689,5.01M,-1.93%
11-Apr-21,5.7955,5.9685,6.0907,5.7842,2.42M,-2.90%
10-Apr-21,5.9685,6.0794,6.231,5.8447,3.88M,-1.83%
9-Apr-21,6.0794,5.8489,6.3374,5.7457,4.25M,3.94%
8-Apr-21,5.8489,5.2078,6.0689,5.1738,4.21M,12.32%
7-Apr-21,5.2075,5.7421,6.2225,5.0867,4.82M,-9.31%
6-Apr-21,5.7421,5.6897,5.9103,5.4259,3.74M,0.92%
5-Apr-21,5.6897,5.3625,5.8677,5.1601,4.44M,6.20%
4-Apr-21,5.3575,5.0043,5.3946,4.9125,2.88M,7.06%
3-Apr-21,5.0043,5.1015,5.8088,4.9923,6.51M,-1.89%
2-Apr-21,5.1009,5.1004,5.2317,4.9948,3.61M,0.01%
1-Apr-21,5.1004,5.1948,5.2915,4.9575,3.45M,-1.82%
31-Mar-21,5.1948,4.8501,5.5885,4.619,4.01M,7.11%
30-Mar-21,4.8501,4.7745,4.9652,4.7187,2.56M,1.58%
29-Mar-21,4.7745,4.5178,4.9332,4.4502,2.81M,5.69%
28-Mar-21,4.5173,4.4485,4.7215,4.3411,2.53M,1.53%
27-Mar-21,4.449,4.4549,4.531,4.3888,2.33M,-0.01%
26-Mar-21,4.4495,4.1374,4.5293,4.1337,2.30M,7.54%
